Year,Country,Company,Developer_Type,Experience_Level,Avg_Salary_USD,Requirement_Rate,AI_Impact_Level,Automation_Risk,Remote_Work_Percentage,Job_Satisfaction,Work_Hours_Per_Week
2022,Australia,Google,ML Engineer,Senior,112291,93,High Demand,Low,62,6,40
2022,USA,NVIDIA,ML Engineer,Junior,153527,100,High Demand,Low,84,8,40
2024,Germany,OpenAI,Frontend Developer,Mid,120731,77,Moderate Impact,Medium,71,8,46
2024,India,IBM,ML Engineer,Mid,44380,70,High Demand,Low,89,9,37
2022,UK,Amazon,Data Scientist,Mid,118934,97,High Demand,Low,72,7,39
2022,Australia,OpenAI,Mobile Developer,Mid,90474,57,Moderate Impact,High,73,8,37
2024,India,IBM,Data Analyst,Senior,32509,96,Growing Demand,Medium,80,9,35
2022,USA,IBM,Full Stack Developer,Junior,146521,73,Moderate Impact,Medium,84,7,45
2022,UK,OpenAI,Frontend Developer,Senior,87252,91,Moderate Impact,High,77,9,50
2024,Canada,Wipro,Full Stack Developer,Senior,109021,88,Moderate Impact,High,57,8,36
2024,UK,IBM,Mobile Developer,Senior,80535,78,Moderate Impact,Medium,78,9,43
2023,India,Wipro,Mobile Developer,Junior,17088,79,Moderate Impact,High,89,7,39
2023,Australia,Wipro,ML Engineer,Junior,142867,87,High Demand,Low,57,9,45
2022,Australia,OpenAI,ML Engineer,Senior,113631,97,High Demand,Low,90,6,47
2022,UK,NVIDIA,Mobile Developer,Senior,92786,85,Moderate Impact,High,77,7,37
2025,USA,TCS,Data Analyst,Senior,123330,93,Growing Demand,Medium,89,8,48
2022,Canada,Wipro,Full Stack Developer,Mid,89743,65,Moderate Impact,High,74,9,41
2023,Canada,Microsoft,AI Engineer,Mid,120278,98,High Demand,Low,78,7,50
2022,Germany,Infosys,ML Engineer,Junior,130173,100,High Demand,Low,77,9,39
2023,USA,NVIDIA,Frontend Developer,Senior,117400,71,Moderate Impact,High,53,6,43
2022,Canada,Accenture,AI Engineer,Senior,126146,100,High Demand,Low,60,10,40
2023,UK,Microsoft,Mobile Developer,Mid,85200,83,Moderate Impact,High,68,8,46
2023,USA,Google,Data Scientist,Senior,194237,95,High Demand,Low,68,9,50
2025,UK,Google,Full Stack Developer,Mid,96536,86,Moderate Impact,High,78,10,49
2023,USA,Amazon,Frontend Developer,Junior,133917,79,Moderate Impact,Medium,75,10,42
2023,Canada,Microsoft,Data Analyst,Mid,99091,67,Growing Demand,Medium,86,9,46
2024,Australia,Infosys,Data Scientist,Senior,110121,75,High Demand,Low,87,8,46
2025,Canada,Amazon,AI Engineer,Senior,176785,100,High Demand,Low,79,9,42
2022,India,Google,Data Scientist,Mid,36479,84,High Demand,Low,79,7,50
2025,USA,NVIDIA,Data Scientist,Senior,169538,99,High Demand,Low,64,6,39
2025,India,IBM,AI Engineer,Mid,38960,81,High Demand,Low,70,7,38
2025,UK,NVIDIA,Frontend Developer,Junior,83478,69,Moderate Impact,Medium,83,9,49
2024,India,OpenAI,Mobile Developer,Mid,38085,84,Moderate Impact,High,64,10,36
2022,USA,Infosys,Mobile Developer,Mid,99928,82,Moderate Impact,High,75,10,42
2025,Australia,NVIDIA,ML Engineer,Junior,183342,100,High Demand,Low,60,9,35
2023,Canada,Accenture,Mobile Developer,Senior,89314,82,Moderate Impact,High,62,6,46
2025,Australia,Accenture,Mobile Developer,Junior,130130,64,Moderate Impact,Medium,70,10,43
2022,UK,Microsoft,ML Engineer,Mid,82756,100,High Demand,Low,76,9,38
2025,Australia,Microsoft,ML Engineer,Junior,154866,100,High Demand,Low,60,6,39
2023,Canada,NVIDIA,Frontend Developer,Junior,110644,81,Moderate Impact,Medium,74,6,42
2023,UK,Accenture,Frontend Developer,Senior,71331,68,Moderate Impact,Medium,82,6,49
2024,USA,Microsoft,ML Engineer,Mid,146830,100,High Demand,Low,85,10,36
2024,Germany,TCS,Mobile Developer,Mid,128406,90,Moderate Impact,Medium,62,10,37
2024,USA,Amazon,ML Engineer,Junior,143261,100,High Demand,Low,53,7,46
2023,Germany,Microsoft,AI Engineer,Junior,137506,87,High Demand,Low,70,9,41
2025,USA,OpenAI,Data Analyst,Junior,119851,91,Growing Demand,Medium,68,9,39
2025,India,OpenAI,AI Engineer,Senior,27154,96,High Demand,Low,77,6,43
2022,USA,Infosys,AI Engineer,Senior,154156,70,High Demand,Low,62,8,35
2022,Canada,Microsoft,Full Stack Developer,Mid,72826,73,Moderate Impact,Medium,58,8,50
2024,USA,Accenture,AI Engineer,Mid,236117,100,High Demand,Low,54,8,44
2022,Canada,IBM,Data Scientist,Mid,140911,100,High Demand,Low,72,8,48
2022,India,IBM,Frontend Developer,Junior,12473,67,Moderate Impact,High,90,6,45
2025,USA,TCS,Data Scientist,Junior,141020,100,High Demand,Low,67,6,39
2023,Germany,Accenture,ML Engineer,Junior,140248,99,High Demand,Low,69,7,38
2025,Canada,Accenture,AI Engineer,Senior,146870,100,High Demand,Low,69,8,44
2024,India,IBM,Data Scientist,Junior,45317,95,High Demand,Low,61,8,41
2023,USA,OpenAI,ML Engineer,Junior,181253,84,High Demand,Low,62,6,42
2022,UK,Microsoft,Data Scientist,Junior,130153,100,High Demand,Low,60,7,50
2023,USA,TCS,AI Engineer,Senior,163743,81,High Demand,Low,51,9,48
2022,UK,Google,Frontend Developer,Mid,65303,68,Moderate Impact,Medium,50,7,36
2022,Australia,Amazon,ML Engineer,Mid,142867,100,High Demand,Low,89,7,39
2024,USA,TCS,Data Scientist,Junior,148258,74,High Demand,Low,62,6,45
2024,USA,TCS,AI Engineer,Mid,131634,97,High Demand,Low,65,7,46
2024,UK,NVIDIA,Mobile Developer,Junior,83492,86,Moderate Impact,High,86,10,43
2022,India,Wipro,ML Engineer,Junior,40201,87,High Demand,Low,71,7,40
2022,UK,Amazon,Data Analyst,Senior,95769,87,Growing Demand,Medium,57,9,42
2024,India,Microsoft,Data Analyst,Mid,17375,100,Growing Demand,Medium,74,9,46
2025,Germany,Microsoft,ML Engineer,Junior,100626,86,High Demand,Low,54,8,41
2025,Germany,Wipro,Backend Developer,Senior,99770,54,Moderate Impact,Medium,88,9,38
2022,UK,OpenAI,Frontend Developer,Senior,79080,82,Moderate Impact,Medium,55,7,44
2022,USA,Amazon,Data Analyst,Senior,94329,98,Growing Demand,Medium,83,6,49
2024,India,Accenture,ML Engineer,Senior,30308,84,High Demand,Low,79,7,41
2024,USA,NVIDIA,Frontend Developer,Junior,154961,70,Moderate Impact,Medium,55,6,45
2022,Canada,Meta,Data Analyst,Junior,93009,100,Growing Demand,Medium,81,8,44
2023,Germany,NVIDIA,Data Scientist,Junior,138996,87,High Demand,Low,60,7,45
2025,Australia,Accenture,Mobile Developer,Senior,129615,86,Moderate Impact,Medium,55,9,38
2022,USA,NVIDIA,Data Analyst,Senior,132298,71,Growing Demand,Medium,64,10,47
2022,UK,Infosys,ML Engineer,Junior,120682,83,High Demand,Low,58,10,35
2022,USA,TCS,AI Engineer,Junior,148253,100,High Demand,Low,71,8,40
2025,USA,Accenture,AI Engineer,Senior,137307,100,High Demand,Low,84,10,44
2024,Australia,Meta,Data Scientist,Senior,157888,97,High Demand,Low,62,10,46
2023,Canada,TCS,AI Engineer,Senior,130985,81,High Demand,Low,54,6,48
2025,USA,Meta,Mobile Developer,Senior,182097,89,Moderate Impact,High,90,10,35
2022,Germany,IBM,Backend Developer,Mid,115324,60,Moderate Impact,Medium,87,6,41
2025,Australia,Accenture,Data Analyst,Mid,132714,89,Growing Demand,Medium,75,7,35
2024,Australia,Meta,Mobile Developer,Senior,112048,82,Moderate Impact,High,88,9,39
2022,USA,IBM,ML Engineer,Mid,173655,92,High Demand,Low,66,7,50
2024,UK,Amazon,ML Engineer,Junior,121323,100,High Demand,Low,56,7,45
2024,India,Amazon,Data Analyst,Mid,34271,94,Growing Demand,Medium,50,10,46
2022,USA,OpenAI,Data Analyst,Junior,109318,97,Growing Demand,Medium,70,6,46
2023,UK,Infosys,Backend Developer,Senior,83920,79,Moderate Impact,Medium,74,7,36
2023,Canada,Infosys,Mobile Developer,Senior,94165,88,Moderate Impact,Medium,53,10,40
2023,UK,NVIDIA,AI Engineer,Junior,96837,92,High Demand,Low,60,9,38
2022,USA,Wipro,Backend Developer,Senior,91997,61,Moderate Impact,Medium,78,10,38
2025,Australia,Meta,Mobile Developer,Mid,127135,66,Moderate Impact,High,53,6,35
2025,India,Accenture,ML Engineer,Junior,43706,94,High Demand,Low,80,6,44
2023,Germany,Infosys,AI Engineer,Junior,132426,99,High Demand,Low,88,9,48
2023,USA,Microsoft,Data Analyst,Senior,97272,80,Growing Demand,Medium,60,6,44
2022,Canada,NVIDIA,Full Stack Developer,Senior,100751,55,Moderate Impact,Medium,51,9,38
2024,India,Meta,Data Scientist,Senior,49279,85,High Demand,Low,50,9,44
2025,India,Infosys,Data Scientist,Junior,48434,83,High Demand,Low,67,7,49
2022,India,Microsoft,Full Stack Developer,Junior,39988,70,Moderate Impact,Medium,51,9,37
2025,Canada,Meta,Full Stack Developer,Mid,87687,57,Moderate Impact,High,57,10,42
2025,Australia,Accenture,ML Engineer,Mid,119352,100,High Demand,Low,50,7,36
2022,USA,Accenture,Frontend Developer,Mid,93463,62,Moderate Impact,High,77,7,50
2024,India,OpenAI,Data Analyst,Mid,18431,96,Growing Demand,Medium,74,10,40
2024,UK,TCS,Backend Developer,Senior,77607,68,Moderate Impact,Medium,60,10,42
2024,UK,TCS,Full Stack Developer,Junior,81909,62,Moderate Impact,High,50,9,44
2022,USA,Infosys,Data Analyst,Junior,155611,100,Growing Demand,Medium,78,7,36
2023,Germany,OpenAI,Full Stack Developer,Mid,97234,69,Moderate Impact,High,85,10,35
2024,India,Accenture,Backend Developer,Junior,29418,90,Moderate Impact,High,56,7,36
2024,Canada,NVIDIA,ML Engineer,Senior,131572,100,High Demand,Low,70,8,46
2024,Canada,Google,Full Stack Developer,Junior,101027,85,Moderate Impact,High,58,10,44
2022,India,Amazon,Data Analyst,Senior,26361,91,Growing Demand,Medium,66,7,47
2022,UK,Infosys,Data Scientist,Senior,116814,84,High Demand,Low,51,6,39
2022,Canada,Microsoft,ML Engineer,Senior,127059,100,High Demand,Low,50,6,41
2022,USA,Amazon,Frontend Developer,Junior,145339,92,Moderate Impact,Medium,79,8,39
2022,USA,IBM,Full Stack Developer,Junior,100337,77,Moderate Impact,Medium,90,9,39
2023,India,Amazon,Data Analyst,Mid,20187,100,Growing Demand,Medium,60,9,39
2024,India,Infosys,ML Engineer,Mid,31959,96,High Demand,Low,53,8,38
2025,UK,Microsoft,Backend Developer,Senior,73398,82,Moderate Impact,High,63,8,43
2024,USA,Accenture,AI Engineer,Senior,185001,100,High Demand,Low,59,10,43
2024,Germany,Google,ML Engineer,Junior,179259,91,High Demand,Low,50,10,50
2025,UK,Microsoft,ML Engineer,Junior,128597,83,High Demand,Low,65,6,38
2022,India,OpenAI,Mobile Developer,Junior,12401,71,Moderate Impact,Medium,77,6,39
2025,India,Microsoft,Frontend Developer,Junior,45264,90,Moderate Impact,Medium,58,6,37
2023,Canada,OpenAI,ML Engineer,Senior,121526,100,High Demand,Low,59,8,40
2025,Australia,OpenAI,Backend Developer,Mid,135458,73,Moderate Impact,Medium,80,10,35
2024,India,Amazon,Backend Developer,Senior,15130,58,Moderate Impact,Medium,71,10,46
2025,India,NVIDIA,Full Stack Developer,Mid,36724,67,Moderate Impact,High,62,8,44
2022,Australia,Meta,AI Engineer,Mid,148640,97,High Demand,Low,69,10,37
2023,UK,Amazon,Data Scientist,Junior,98073,80,High Demand,Low,89,8,50
2024,UK,NVIDIA,Backend Developer,Mid,89679,82,Moderate Impact,Medium,70,6,35
2025,India,IBM,AI Engineer,Senior,28849,80,High Demand,Low,74,8,43
2025,Germany,NVIDIA,Full Stack Developer,Mid,101817,84,Moderate Impact,High,86,7,50
2025,India,Meta,Frontend Developer,Senior,40230,83,Moderate Impact,Medium,82,10,48
2024,Germany,Microsoft,Data Analyst,Senior,107906,91,Growing Demand,Medium,90,8,46
2024,USA,Infosys,Backend Developer,Senior,158875,64,Moderate Impact,High,57,8,36
2025,USA,Wipro,Full Stack Developer,Mid,118982,82,Moderate Impact,High,64,6,41
2022,UK,TCS,Data Scientist,Junior,104268,100,High Demand,Low,78,7,42
2022,UK,Google,Mobile Developer,Senior,69795,63,Moderate Impact,High,52,7,39
2025,Australia,Accenture,Mobile Developer,Senior,91086,79,Moderate Impact,High,50,7,50
2025,USA,Google,Frontend Developer,Junior,162887,81,Moderate Impact,High,64,7,35
2025,USA,TCS,Full Stack Developer,Junior,105604,63,Moderate Impact,Medium,76,8,49
2024,Canada,Accenture,Backend Developer,Senior,90453,81,Moderate Impact,High,55,6,39
2023,India,IBM,Data Analyst,Junior,23751,69,Growing Demand,Medium,70,6,35
2023,India,Accenture,Full Stack Developer,Senior,14264,86,Moderate Impact,High,51,6,49
2025,Germany,Meta,Data Scientist,Junior,116325,100,High Demand,Low,53,6,37
2024,Australia,Microsoft,Mobile Developer,Mid,116279,61,Moderate Impact,Medium,85,7,35
2025,USA,IBM,Backend Developer,Mid,112075,59,Moderate Impact,Medium,66,10,35
2025,Canada,Amazon,Mobile Developer,Mid,87002,84,Moderate Impact,High,57,8,48
2025,Australia,Meta,Data Scientist,Senior,134196,87,High Demand,Low,66,8,39
2023,Australia,TCS,Frontend Developer,Junior,121758,66,Moderate Impact,Medium,76,10,38
2023,Australia,NVIDIA,Mobile Developer,Junior,83907,71,Moderate Impact,Medium,78,10,45
2025,India,Wipro,Data Analyst,Senior,14564,82,Growing Demand,Medium,87,6,35
2025,Australia,Wipro,Frontend Developer,Senior,103671,72,Moderate Impact,Medium,59,6,38
2024,Germany,TCS,Mobile Developer,Mid,86983,85,Moderate Impact,High,52,9,47
2023,India,Google,Backend Developer,Junior,13249,80,Moderate Impact,High,63,8,39
2022,India,OpenAI,AI Engineer,Junior,27938,100,High Demand,Low,81,8,37
2023,USA,Accenture,Data Scientist,Senior,187368,86,High Demand,Low,55,6,40
2023,Australia,IBM,Mobile Developer,Junior,89821,85,Moderate Impact,High,63,9,35
2022,Germany,Accenture,Mobile Developer,Mid,86343,76,Moderate Impact,High,55,9,35
2025,India,Accenture,Backend Developer,Mid,40609,81,Moderate Impact,High,70,10,50
2023,Australia,Accenture,Frontend Developer,Mid,88092,64,Moderate Impact,Medium,88,10,49
2025,USA,Wipro,Data Scientist,Mid,156512,100,High Demand,Low,68,10,41
2024,USA,OpenAI,Data Scientist,Mid,151498,99,High Demand,Low,82,8,46
2024,USA,Wipro,ML Engineer,Senior,204621,87,High Demand,Low,81,9,44
2022,Canada,Google,Backend Developer,Mid,82920,77,Moderate Impact,High,54,7,37
2022,Canada,TCS,Frontend Developer,Mid,76133,75,Moderate Impact,High,57,7,47
2022,Canada,Accenture,Backend Developer,Mid,100589,74,Moderate Impact,High,82,10,41
2023,Germany,Meta,ML Engineer,Junior,134494,100,High Demand,Low,89,10,49
2022,Australia,Amazon,Data Analyst,Junior,99197,83,Growing Demand,Medium,85,7,50
2022,Canada,TCS,Data Analyst,Mid,97430,100,Growing Demand,Medium,84,7,43
2025,Canada,Accenture,Data Scientist,Senior,138868,94,High Demand,Low,76,8,46
2025,USA,Meta,Mobile Developer,Mid,111563,80,Moderate Impact,High,85,9,42
2023,UK,Google,Data Scientist,Junior,116228,100,High Demand,Low,53,6,39
2023,India,IBM,Data Scientist,Mid,29162,99,High Demand,Low,89,7,39
2025,India,Amazon,ML Engineer,Senior,23433,79,High Demand,Low,75,8,50
2022,Australia,TCS,Data Analyst,Senior,80294,76,Growing Demand,Medium,87,8,39
2024,Germany,Accenture,ML Engineer,Senior,169595,77,High Demand,Low,83,7,36
2022,India,Accenture,ML Engineer,Junior,37541,100,High Demand,Low,87,9,40
2024,India,IBM,Data Scientist,Junior,39980,100,High Demand,Low,62,8,41
2024,USA,Amazon,Data Scientist,Senior,198864,74,High Demand,Low,63,9,43
2023,Australia,Amazon,ML Engineer,Mid,116381,83,High Demand,Low,69,10,50
2023,Australia,TCS,ML Engineer,Senior,127367,100,High Demand,Low,81,6,45
2025,India,Microsoft,Mobile Developer,Senior,26738,77,Moderate Impact,Medium,84,9,44
2024,USA,Microsoft,Full Stack Developer,Senior,171145,62,Moderate Impact,Medium,86,8,36
2024,Canada,Amazon,ML Engineer,Junior,98885,99,High Demand,Low,56,10,39
2022,Canada,Microsoft,Frontend Developer,Mid,77738,67,Moderate Impact,Medium,55,6,35
2023,USA,TCS,Full Stack Developer,Senior,101860,75,Moderate Impact,High,88,10,49
2022,UK,Google,ML Engineer,Junior,134136,100,High Demand,Low,55,10,38
2025,Canada,Google,ML Engineer,Mid,163075,79,High Demand,Low,80,7,49
2022,Germany,Microsoft,Full Stack Developer,Mid,90633,81,Moderate Impact,Medium,61,7,42
2023,Canada,IBM,Data Scientist,Senior,123391,95,High Demand,Low,90,6,50
2025,USA,Infosys,Backend Developer,Mid,164272,52,Moderate Impact,High,76,7,39
2023,USA,Meta,Mobile Developer,Mid,122674,56,Moderate Impact,Medium,53,8,36
2024,USA,TCS,Backend Developer,Mid,114962,65,Moderate Impact,Medium,86,9,39
2022,UK,Google,Data Scientist,Mid,99470,94,High Demand,Low,88,10,37
2023,UK,NVIDIA,Full Stack Developer,Mid,87853,86,Moderate Impact,High,70,8,44
2023,India,TCS,Data Analyst,Junior,19659,100,Growing Demand,Medium,86,9,38
2022,Canada,Accenture,Frontend Developer,Mid,89701,66,Moderate Impact,High,51,7,47
2022,India,Google,Data Analyst,Mid,19296,82,Growing Demand,Medium,87,10,48
2023,Germany,Microsoft,Mobile Developer,Mid,74119,57,Moderate Impact,Medium,90,6,50
2025,Australia,Infosys,Backend Developer,Junior,115951,78,Moderate Impact,Medium,87,6,40
2023,Germany,Google,Backend Developer,Senior,83317,76,Moderate Impact,High,67,7,40
2024,Germany,TCS,Full Stack Developer,Mid,99809,65,Moderate Impact,High,75,7,43
2024,India,IBM,Data Scientist,Junior,37022,97,High Demand,Low,53,6,41
2025,Canada,OpenAI,Backend Developer,Senior,90311,57,Moderate Impact,Medium,51,7,46
2023,UK,Wipro,AI Engineer,Junior,118026,74,High Demand,Low,58,6,36
2025,USA,Google,AI Engineer,Senior,225474,100,High Demand,Low,89,7,42
2025,India,Meta,AI Engineer,Senior,20353,82,High Demand,Low,78,8,45
2024,Australia,Amazon,AI Engineer,Senior,121304,73,High Demand,Low,51,9,47
2023,Australia,NVIDIA,Mobile Developer,Junior,81378,84,Moderate Impact,High,71,6,44
2024,UK,TCS,Data Analyst,Junior,84931,88,Growing Demand,Medium,61,8,40
2025,India,Accenture,ML Engineer,Junior,54048,86,High Demand,Low,63,8,46
2023,India,IBM,Data Analyst,Senior,31755,96,Growing Demand,Medium,90,10,39
2025,USA,Meta,Mobile Developer,Mid,159082,63,Moderate Impact,High,59,8,43
2025,UK,Infosys,AI Engineer,Mid,87095,100,High Demand,Low,57,8,46
2024,Germany,Wipro,Frontend Developer,Senior,119720,68,Moderate Impact,Medium,84,7,46
2023,Germany,Infosys,Full Stack Developer,Senior,85814,82,Moderate Impact,Medium,73,9,50
2025,Canada,Meta,Data Scientist,Senior,142998,91,High Demand,Low,86,7,46
2025,Australia,Meta,ML Engineer,Mid,170140,81,High Demand,Low,72,9,38
2022,India,TCS,Data Analyst,Junior,18982,100,Growing Demand,Medium,69,9,41
2024,India,Microsoft,Mobile Developer,Mid,18071,66,Moderate Impact,High,58,8,44
2025,Canada,Amazon,Mobile Developer,Junior,113713,54,Moderate Impact,High,86,8,48
2025,Australia,OpenAI,Backend Developer,Junior,128422,78,Moderate Impact,Medium,51,10,46
2024,USA,Accenture,Full Stack Developer,Senior,151586,75,Moderate Impact,High,63,10,37
2024,USA,Infosys,ML Engineer,Junior,225789,93,High Demand,Low,62,10,49
2022,Canada,TCS,Frontend Developer,Junior,93932,78,Moderate Impact,Medium,63,10,41
2025,USA,Infosys,Frontend Developer,Senior,180182,57,Moderate Impact,High,63,7,49
2023,USA,Accenture,Frontend Developer,Junior,153252,90,Moderate Impact,High,63,8,42
2024,USA,Accenture,Full Stack Developer,Mid,161553,67,Moderate Impact,High,78,8,38
2022,UK,Microsoft,Full Stack Developer,Mid,80428,93,Moderate Impact,High,52,9,35
2022,UK,IBM,AI Engineer,Mid,121610,93,High Demand,Low,79,9,43
2024,UK,Accenture,AI Engineer,Junior,140895,90,High Demand,Low,61,7,48
2022,India,IBM,ML Engineer,Junior,54742,100,High Demand,Low,58,9,41
2022,UK,Infosys,Frontend Developer,Junior,87429,55,Moderate Impact,Medium,71,10,49
2024,Australia,IBM,Frontend Developer,Mid,108188,85,Moderate Impact,Medium,86,10,47
2022,USA,NVIDIA,ML Engineer,Senior,212006,98,High Demand,Low,56,10,46
2022,Germany,Meta,ML Engineer,Junior,107263,100,High Demand,Low,73,8,40
2022,UK,NVIDIA,Data Analyst,Junior,80270,87,Growing Demand,Medium,74,7,48
2025,Australia,Wipro,Mobile Developer,Mid,131247,57,Moderate Impact,High,54,6,49
2023,USA,Wipro,Mobile Developer,Senior,156884,57,Moderate Impact,Medium,80,10,42
2022,Australia,Microsoft,ML Engineer,Junior,155299,100,High Demand,Low,58,8,47
2025,India,Google,Data Scientist,Mid,25175,89,High Demand,Low,90,8,46
2024,India,NVIDIA,Full Stack Developer,Mid,20575,64,Moderate Impact,Medium,66,8,37
2024,India,Amazon,ML Engineer,Junior,23782,99,High Demand,Low,55,6,43
2024,Canada,OpenAI,AI Engineer,Senior,141826,79,High Demand,Low,60,10,40
2022,Canada,Accenture,Mobile Developer,Senior,91768,89,Moderate Impact,High,85,6,36
2023,Germany,Accenture,Mobile Developer,Junior,94549,87,Moderate Impact,High,67,10,45
2024,India,Microsoft,Data Analyst,Junior,39733,89,Growing Demand,Medium,86,9,49
2025,UK,Amazon,Mobile Developer,Junior,97335,62,Moderate Impact,Medium,73,9,45
2025,India,Google,ML Engineer,Senior,60962,100,High Demand,Low,54,9,45
2024,UK,IBM,Mobile Developer,Senior,70015,89,Moderate Impact,Medium,64,9,41
2022,India,Amazon,Full Stack Developer,Mid,33239,67,Moderate Impact,Medium,74,6,35
2024,USA,OpenAI,Full Stack Developer,Senior,124734,61,Moderate Impact,High,55,9,38
2022,UK,OpenAI,Mobile Developer,Senior,62126,62,Moderate Impact,Medium,86,7,50
2025,Canada,Accenture,Backend Developer,Senior,123204,83,Moderate Impact,Medium,75,7,41
2025,Canada,Meta,Frontend Developer,Junior,114205,82,Moderate Impact,High,71,8,38
2023,USA,Wipro,Backend Developer,Senior,135511,76,Moderate Impact,High,73,10,42
2023,USA,IBM,Full Stack Developer,Mid,155877,65,Moderate Impact,Medium,80,6,47
2022,Germany,IBM,ML Engineer,Senior,118831,95,High Demand,Low,87,10,46
2024,USA,Amazon,Data Analyst,Junior,174154,100,Growing Demand,Medium,60,8,41
2022,UK,Google,AI Engineer,Junior,120708,75,High Demand,Low,60,6,49
2025,Canada,IBM,AI Engineer,Junior,153502,100,High Demand,Low,81,6,41
2024,Australia,TCS,Backend Developer,Senior,113814,63,Moderate Impact,High,56,7,48
2024,Germany,IBM,ML Engineer,Senior,158031,100,High Demand,Low,83,9,38
2025,UK,Accenture,Backend Developer,Mid,101203,64,Moderate Impact,High,55,7,40
2024,Australia,Google,Backend Developer,Senior,122105,82,Moderate Impact,High,66,8,46
2022,UK,NVIDIA,Data Analyst,Junior,84148,90,Growing Demand,Medium,74,6,46
2023,UK,Microsoft,Backend Developer,Junior,84838,75,Moderate Impact,Medium,90,8,47
2024,Australia,IBM,ML Engineer,Mid,153741,81,High Demand,Low,76,7,48
2025,Germany,Meta,Full Stack Developer,Mid,127681,80,Moderate Impact,High,63,9,43
2024,Australia,TCS,Backend Developer,Junior,95251,68,Moderate Impact,Medium,62,6,35
2024,Germany,TCS,AI Engineer,Junior,130532,100,High Demand,Low,58,6,45
2023,USA,Amazon,Data Analyst,Junior,115372,74,Growing Demand,Medium,72,8,38
2022,Germany,Infosys,Backend Developer,Senior,74947,86,Moderate Impact,High,54,6,45
2022,USA,IBM,ML Engineer,Junior,199898,100,High Demand,Low,69,8,41
2025,Canada,NVIDIA,Backend Developer,Senior,119425,67,Moderate Impact,Medium,88,10,42
2024,India,Microsoft,Data Scientist,Mid,31562,85,High Demand,Low,60,10,37
2022,Germany,NVIDIA,Full Stack Developer,Senior,71936,58,Moderate Impact,High,70,7,46
2022,USA,Google,Mobile Developer,Mid,148810,78,Moderate Impact,Medium,51,9,48
2025,UK,Accenture,Data Scientist,Junior,87172,100,High Demand,Low,73,7,45
2022,Germany,OpenAI,Mobile Developer,Junior,86583,91,Moderate Impact,Medium,71,10,50
2024,Australia,Wipro,AI Engineer,Mid,146119,89,High Demand,Low,58,6,45
2022,India,Accenture,Data Analyst,Mid,31323,100,Growing Demand,Medium,61,10,46
2024,USA,Amazon,Data Analyst,Mid,103695,99,Growing Demand,Medium,86,8,45
2024,Germany,Meta,Frontend Developer,Junior,92063,71,Moderate Impact,Medium,82,10,35
2025,UK,Amazon,ML Engineer,Mid,155814,84,High Demand,Low,70,7,38
2022,UK,Accenture,AI Engineer,Junior,109828,90,High Demand,Low,89,6,41
2022,Germany,NVIDIA,Data Analyst,Mid,101204,100,Growing Demand,Medium,73,9,40
2024,India,Google,AI Engineer,Senior,40967,94,High Demand,Low,68,8,46
2022,UK,Accenture,Mobile Developer,Junior,91104,61,Moderate Impact,High,65,6,44
2023,Australia,Accenture,Full Stack Developer,Mid,93053,72,Moderate Impact,High,72,6,40
2024,Canada,Microsoft,ML Engineer,Junior,133765,99,High Demand,Low,71,6,41
2023,Australia,TCS,Data Scientist,Senior,116720,89,High Demand,Low,68,6,48
2024,Germany,Google,Full Stack Developer,Senior,121525,71,Moderate Impact,High,56,10,42
2022,UK,IBM,Backend Developer,Senior,65986,79,Moderate Impact,High,63,9,38
2022,India,Microsoft,Mobile Developer,Senior,24648,75,Moderate Impact,Medium,79,10,36
2024,India,Infosys,Frontend Developer,Senior,16354,61,Moderate Impact,High,81,6,47
2024,Germany,OpenAI,Frontend Developer,Mid,109731,64,Moderate Impact,High,57,8,47
2023,UK,Meta,Full Stack Developer,Junior,89868,67,Moderate Impact,High,88,10,44
2023,India,TCS,Frontend Developer,Mid,38716,84,Moderate Impact,Medium,77,6,49
2024,USA,TCS,ML Engineer,Junior,168481,91,High Demand,Low,89,8,43
2024,Australia,IBM,Full Stack Developer,Mid,126713,52,Moderate Impact,Medium,73,10,44
2023,UK,IBM,Full Stack Developer,Junior,65115,90,Moderate Impact,High,87,10,40
2024,USA,Google,Full Stack Developer,Junior,146671,77,Moderate Impact,Medium,78,9,43
2023,India,Wipro,Data Scientist,Junior,35140,85,High Demand,Low,71,6,48
2022,Germany,Google,Data Scientist,Senior,148092,82,High Demand,Low,79,9,38
2023,UK,NVIDIA,AI Engineer,Junior,130103,100,High Demand,Low,69,6,50
2024,UK,TCS,AI Engineer,Junior,143292,91,High Demand,Low,58,9,45
2024,USA,Microsoft,Data Scientist,Mid,196106,87,High Demand,Low,56,9,46
2024,USA,NVIDIA,ML Engineer,Senior,192688,90,High Demand,Low,88,7,45
2024,USA,Amazon,Data Analyst,Junior,118272,77,Growing Demand,Medium,54,6,45
2022,Germany,Amazon,Mobile Developer,Mid,114973,57,Moderate Impact,High,89,7,48
2024,India,Google,Frontend Developer,Senior,24582,89,Moderate Impact,High,86,10,37
2024,UK,TCS,Full Stack Developer,Junior,102458,85,Moderate Impact,High,71,7,38
2022,Germany,Accenture,Data Analyst,Mid,117351,93,Growing Demand,Medium,67,9,40
2024,USA,IBM,Backend Developer,Senior,132363,70,Moderate Impact,High,76,7,46
2025,USA,Amazon,Backend Developer,Junior,144804,82,Moderate Impact,Medium,90,8,45
